200,6999,69.20795016315633%
503,488,4.82547216454069%
403,619,6.1208345693661625%
429,14,0.13843567685157718%
404,407,4.024522891327994%
400,23,0.2274300405418768%
TimeoutError,176,1.74033422327697%
504,1295,12.80530010877089%
406,7,0.06921783842578859%
502,27,0.26698309107089885%
500,17,0.16810046474834373%
520,6,0.05932957579353308%
405,7,0.06921783842578859%
204,8,0.07910610105804411%
420,1,0.009888262632255514%
412,1,0.009888262632255514%
507,1,0.009888262632255514%
401,2,0.019776525264511027%
302,1,0.009888262632255514%
410,5,0.04944131316127757%
522,2,0.019776525264511027%
463,2,0.019776525264511027%
530,1,0.009888262632255514%
0,1,0.009888262632255514%
402,1,0.009888262632255514%
523,2,0.019776525264511027%
crawler-runtime,54868.515421152115
